,"Number of
transactions","Sales
price",Basis,Gain,Year,Type,type,
10 months under 11 months,1216223.00,5604982.00,6836077.00,1231265.00,2003.00,Losses,10 months under 11 months,
11 months under 12 months,1275190.00,6850159.00,8245095.00,1394930.00,2003.00,Losses,11 months under 12 months,
1 year or more [2],493280.00,20520944.00,21735025.00,1188740.00,2003.00,Losses,1 year or more [2],
Holding period not determinable,4426893.00,319413248.00,328294365.00,14280421.00,2003.00,Losses,Holding period not determinable,
Long-term transactions,,,,,2003.00,Losses,Long-term transactions,
Total:,41078136.00,278961173.00,397170885.00,136792574.00,2003.00,Losses,Total:,
Under 18 months [3],7094865.00,37980081.00,47301725.00,9490445.00,2003.00,Losses,Under 18 months [3],
18 months under 2 years,5039141.00,25695618.00,33463426.00,7773647.00,2003.00,Losses,18 months under 2 years,
2 years under 3 years,7027645.00,36689032.00,55059597.00,18479146.00,2003.00,Losses,2 years under 3 years,
3 years under 4 years,4872930.00,22404782.00,41836421.00,19441823.00,2003.00,Losses,3 years under 4 years,
4 years under 5 years,2473695.00,15198548.00,22284747.00,7120921.00,2003.00,Losses,4 years under 5 years,
5 years under 10 years,3476711.00,24993951.00,34979955.00,10025933.00,2003.00,Losses,5 years under 10 years,
10 years under 15 years,608872.00,7026976.00,10492809.00,3576882.00,2003.00,Losses,10 years under 15 years,
15 years under 20 years,227959.00,2120601.00,3045656.00,926596.00,2003.00,Losses,15 years under 20 years,
20 years or more,157057.00,1587282.00,2337490.00,810242.00,2003.00,Losses,20 years or more,
Holding period not determinable,10099261.00,105264302.00,146369059.00,59146939.00,2003.00,Losses,Holding period not determinable,
Total:,52108358.00,1158441596.00,1096993781.00,77778417.00,2004.00,gains,Total:,
Under 1 month,15317865.00,375954339.00,365719348.00,10207990.00,2004.00,gains,Under 1 month,
1 month under 2 months,4884514.00,76235920.00,71835538.00,4369982.00,2004.00,gains,1 month under 2 months,
2 months under 3 months,3177272.00,42638043.00,37660760.00,3207499.00,2004.00,gains,2 months under 3 months,
3 months under 4 months,3180219.00,38078584.00,34899133.00,3066234.00,2004.00,gains,3 months under 4 months,
4 months under 5 months,2694655.00,33665685.00,30524927.00,2832631.00,2004.00,gains,4 months under 5 months,
5 months under 6 months,2692899.00,25202721.00,22568527.00,2570615.00,2004.00,gains,5 months under 6 months,
6 months under 7 months,2470448.00,24482234.00,21416552.00,3063348.00,2004.00,gains,6 months under 7 months,
